,R2,Model,Region,Data
212,0.4149758068351298,LGB,Non-Region,Pathway
213,0.422783922496785,LGB,Non-Region,Pathway
214,0.4064929359440338,LGB,Non-Region,Pathway
215,0.442478052869946,LGB,Non-Region,Pathway
216,0.4045519313120154,LGB,Non-Region,Pathway
217,0.3693702447555838,LGB,Non-Region,Pathway
218,0.38757988376711083,LGB,Non-Region,Pathway
219,0.41869897594033856,LGB,Non-Region,Pathway
220,0.39237568304860837,LGB,Non-Region,Pathway
221,0.41212039345576346,LGB,Non-Region,Pathway
222,0.38135596004672934,LGB,Non-Region,Pathway
223,0.4225142467472385,LGB,Non-Region,Pathway
224,0.4274424796074344,LGB,Non-Region,Pathway
225,0.39534911864173017,LGB,Non-Region,Pathway
226,0.38787074070848604,LGB,Non-Region,Pathway
227,0.439314955206523,LGB,Non-Region,Pathway
228,0.40164456177255814,LGB,Non-Region,Pathway
229,0.38812440532129366,LGB,Non-Region,Pathway
230,0.40193318454541105,LGB,Non-Region,Pathway
231,0.4213868384781755,LGB,Non-Region,Pathway
232,0.4118608983620853,LGB,Non-Region,Pathway
233,0.41498338907951104,LGB,Non-Region,Pathway
234,0.39542152116536433,LGB,Non-Region,Pathway
235,0.4120343389867873,LGB,Non-Region,Pathway
236,0.42589146509146847,LGB,Non-Region,Pathway
237,0.39480400317450537,LGB,Non-Region,Pathway
238,0.38498315858720067,LGB,Non-Region,Pathway
239,0.4027689210973827,LGB,Non-Region,Pathway
240,0.43972664365668646,LGB,Non-Region,Pathway
241,0.4031391496406336,LGB,Non-Region,Pathway
242,0.40509863467140583,LGB,Non-Region,Pathway
243,0.41752312662473323,LGB,Non-Region,Pathway
244,0.3943831630747524,LGB,Non-Region,Pathway
245,0.41504975333693783,LGB,Non-Region,Pathway
246,0.3849035903402418,LGB,Non-Region,Pathway
247,0.4159313850719656,LGB,Non-Region,Pathway
248,0.40594302595060117,LGB,Non-Region,Pathway
249,0.42706352478833487,LGB,Non-Region,Pathway
250,0.42982804002467323,LGB,Region,Pathway
251,0.4032035855290991,LGB,Region,Pathway
252,0.4250502419283113,LGB,Region,Pathway
253,0.41676222396476414,LGB,Region,Pathway
254,0.4426586637230967,LGB,Region,Pathway
255,0.38962397613012667,LGB,Region,Pathway
256,0.4251410020591532,LGB,Region,Pathway
257,0.4356148194778925,LGB,Region,Pathway
258,0.42392928446232114,LGB,Region,Pathway
259,0.4304426687830102,LGB,Region,Pathway
260,0.395497936682477,LGB,Region,Pathway
261,0.43890235818573764,LGB,Region,Pathway
262,0.43050366978274335,LGB,Region,Pathway
263,0.4153190602183515,LGB,Region,Pathway
264,0.43098019531738774,LGB,Region,Pathway
265,0.3993870394939254,LGB,Region,Pathway
266,0.41162890769319527,LGB,Region,Pathway
267,0.416469130141939,LGB,Region,Pathway
268,0.4126874936421522,LGB,Region,Pathway
269,0.46868095186176406,LGB,Region,Pathway
270,0.39955640636649503,LGB,Region,Pathway
271,0.41915730492999415,LGB,Region,Pathway
272,0.43025984683644003,LGB,Region,Pathway
273,0.4345991198837773,LGB,Region,Pathway
274,0.40888921957724056,LGB,Region,Pathway
275,0.4205093033513623,LGB,Region,Pathway
276,0.40984176172090636,LGB,Region,Pathway
277,0.405342109810524,LGB,Region,Pathway
278,0.4326961374392485,LGB,Region,Pathway
279,0.42641584214032147,LGB,Region,Pathway
280,0.4492586986831788,LGB,Region,Pathway
281,0.38503604964482663,LGB,Region,Pathway
282,0.3886032522433842,LGB,Region,Pathway
283,0.44284897741048024,LGB,Region,Pathway
284,0.4359719453483001,LGB,Region,Pathway
285,0.40550258973509823,LGB,Region,Pathway
286,0.40044746973688894,LGB,Region,Pathway
287,0.4166653457434787,LGB,Region,Pathway
288,0.42341778257601503,LGB,Region,Pathway
289,0.4296543240543246,LGB,Region,Pathway
290,0.401109994536611,LGB,Region,Pathway
291,0.45498726256783395,LGB,Region,Pathway
292,0.42171060277922523,LGB,Region,Pathway
293,0.40115932784434427,LGB,Region,Pathway
294,0.43655688919029056,LGB,Region,Pathway
295,0.42502321973935653,LGB,Region,Pathway
296,0.41660562658747147,LGB,Region,Pathway
297,0.4461357949165389,LGB,Region,Pathway
298,0.42107404071262144,LGB,Region,Pathway
299,0.43512735655911405,LGB,Region,Pathway
300,0.4310871922395847,EM,Non-Region,Pathway
301,0.4401732181364819,EM,Non-Region,Pathway
302,0.4492141059000305,EM,Non-Region,Pathway
303,0.43732020247279757,EM,Non-Region,Pathway
304,0.44896995107034865,EM,Non-Region,Pathway
305,0.4502192216704429,EM,Non-Region,Pathway
306,0.4367263202565087,EM,Non-Region,Pathway
307,0.46361811158750654,EM,Non-Region,Pathway
308,0.411695537562359,EM,Non-Region,Pathway
309,0.4233872404956207,EM,Non-Region,Pathway
310,0.4470353635573141,EM,Non-Region,Pathway
311,0.4596236761360605,EM,Non-Region,Pathway
312,0.4149485887250457,EM,Non-Region,Pathway
313,0.43513105195505297,EM,Non-Region,Pathway
314,0.4461723542298973,EM,Non-Region,Pathway
315,0.4434494358391935,EM,Non-Region,Pathway
316,0.45080733721517774,EM,Non-Region,Pathway
317,0.4333832347310064,EM,Non-Region,Pathway
318,0.4287046423812241,EM,Non-Region,Pathway
319,0.4387091893222067,EM,Non-Region,Pathway
320,0.4287943417412652,EM,Non-Region,Pathway
321,0.4470003619324163,EM,Non-Region,Pathway
322,0.41853360430264597,EM,Non-Region,Pathway
323,0.4255660683494705,EM,Non-Region,Pathway
324,0.47499134455733905,EM,Non-Region,Pathway
325,0.4753633649422513,EM,Non-Region,Pathway
326,0.4548326102908572,EM,Non-Region,Pathway
327,0.40604304760886445,EM,Non-Region,Pathway
328,0.4385337629143917,EM,Non-Region,Pathway
329,0.42174974963585476,EM,Non-Region,Pathway
330,0.45811300117144516,EM,Non-Region,Pathway
331,0.4353136779226666,EM,Non-Region,Pathway
332,0.4357745775955245,EM,Non-Region,Pathway
333,0.46140514291061696,EM,Non-Region,Pathway
334,0.41973511204762803,EM,Non-Region,Pathway
335,0.4495984972154584,EM,Non-Region,Pathway
336,0.40786341764946443,EM,Non-Region,Pathway
337,0.4329843765099173,EM,Non-Region,Pathway
338,0.4568014111924079,EM,Non-Region,Pathway
339,0.4538166682755853,EM,Non-Region,Pathway
340,0.46590984535136915,EM,Non-Region,Pathway
341,0.41029171810280773,EM,Non-Region,Pathway
342,0.4100520219097895,EM,Non-Region,Pathway
343,0.46880236350723725,EM,Non-Region,Pathway
344,0.4465569969394576,EM,Non-Region,Pathway
345,0.4435626975368031,EM,Non-Region,Pathway
346,0.42273861904185994,EM,Non-Region,Pathway
347,0.41097034182405956,EM,Non-Region,Pathway
348,0.44825327929698555,EM,Non-Region,Pathway
349,0.4466038009831268,EM,Non-Region,Pathway
350,0.4615617798409636,EM,Region,Pathway
351,0.47422550575237377,EM,Region,Pathway
352,0.47356681877666995,EM,Region,Pathway
353,0.4437428391756001,EM,Region,Pathway
354,0.4372411362454567,EM,Region,Pathway
