,Fid,ALE,Fv,rFv,tFid
47714,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6007301317377278,-0.1138959159195414,-0.0006710452160686,Firmicutes bacterium CAG 94
47715,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6028498764236645,-0.1125819042274959,-0.000663303399756,Firmicutes bacterium CAG 94
47716,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6093951342446662,-0.1119389942682795,-0.0006595155409112,Firmicutes bacterium CAG 94
47717,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6093963484133693,-0.1113403529245385,-0.0006559885012749,Firmicutes bacterium CAG 94
47718,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6093994284902937,-0.1099581701841056,-0.0006478450388144,Firmicutes bacterium CAG 94
47719,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6094015205600372,-0.1089007331006884,-0.0006416148935946,Firmicutes bacterium CAG 94
47720,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6094068057932791,-0.106154081614624,-0.0006254323349396,Firmicutes bacterium CAG 94
47721,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6047524065499881,-0.1052697898260554,-0.0006202223169198,Firmicutes bacterium CAG 94
47722,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6082482922519703,-0.1040421870661397,-0.0006129895996391,Firmicutes bacterium CAG 94
47723,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6081265189816738,-0.1032594969889759,-0.0006083781925688,Firmicutes bacterium CAG 94
