age,pred
53,42.76185564
48,42.41667636
29,40.62385317
52,41.40411798
60,42.6159959
42,51.52071119
46,46.3569882
29,36.70430234
25,50.80263279
60,47.0587959
27,33.74676886
53,50.43340491
63,56.87857154
48,46.07520985
55,50.06397617
42,46.39160411
32,44.93069183
43,34.84176309
42,46.49895084
44,47.94620804
60,48.52244415
52,42.12584061
42,42.09777678
43,42.07120348
52,47.18453546
65,53.71647702
30,47.63172643
37,40.89468462
64,37.0515158
21,39.45321324
56,59.42338767
64,57.86170137
53,48.30982206
57,45.58190615
37,43.35102371
47,45.75109888
25,43.9783582
44,45.28490134
53,51.60809161
27,42.74001854
48,37.96575737
45,39.33652147
32,37.50201911
50,48.17583269
37,47.79396522
26,44.77224467
32,41.14194201
54,47.03145492
36,38.11337769
45,38.67356942
56,59.70718486
38,41.13904818
42,52.84185807
41,46.89529721
45,41.99473334
63,41.25729803
56,43.88112374
40,45.25801206
36,39.19517823
50,40.66524462
57,52.93732655
53,34.73963588
54,39.49108229
29,41.54839862
43,36.260073
45,37.40544472
47,49.0652892
59,50.22118465
48,49.75188813
53,43.86186877
30,36.47014393
41,43.67053705
56,48.94904424
52,46.08957625
33,39.77863012
33,35.59122291
64,51.07272372
63,37.15033493
61,40.7317497
36,48.01027327
36,47.92670264
51,36.47733489
35,46.09613872
38,49.10526834
21,46.9156267
52,47.95014141
45,45.68351741
40,40.78944429
55,44.1788706
52,39.91157461
40,50.00699822
63,52.61382033
26,40.18990169
46,37.55404089
56,39.8834152
35,36.54655293
57,54.15900267
64,48.71273632
54,42.91363239
48,49.26548969
48,43.32484236
39,38.6037954
45,46.26608005
27,35.92504974
27,48.09934196
56,41.96829619
40,49.52412894
24,48.27112457
43,53.34203742
41,47.62822245
19,33.69769036
53,37.02916936
45,49.25219949
56,56.53244807
40,45.44296056
42,41.79700401
24,33.41578551
63,52.6166922
19,45.30367178
49,51.23858607
56,47.52525041
20,33.05811277
42,36.50527108
59,44.92712642
43,53.3635582
34,42.02726564
45,50.04422207
41,52.31112534
58,43.66185184
31,40.55787395
22,35.4969835
35,44.71224688
47,45.13833857
30,45.16133105
37,43.76618752
62,53.68262549
55,52.84996813
64,39.87941095
41,41.11119977
60,52.24730123
60,48.64194632
41,45.81979687
57,48.20454705
28,37.27015434
35,42.112324
40,35.99330551
43,44.6464602
54,48.60243232
57,50.56910029
26,41.46103655
55,44.1418272
25,36.4711747
41,43.84372372
59,50.73034668
50,42.58458934
62,44.46188744
53,46.54328151
31,37.73414703
38,45.31587812
37,48.88387267
50,47.64736018
57,49.79646577
52,47.41141179
41,40.1049634
43,39.19378639
25,30.60231181
20,38.5390758
54,47.97984027
46,29.74746516
43,53.45882163
40,43.41152633
48,43.15835849
25,40.01391695
58,55.09329196
22,32.83928238
57,56.15049709
54,52.36161849
39,39.72222267
30,42.61581423
59,50.32408672
51,43.66542827
40,34.81016098
38,42.38279556
28,40.49429448
62,49.78739293
54,43.81353994
31,40.02343085
62,43.24544038
56,46.4543907
25,47.48836444
53,48.02675652
59,39.75885065
40,48.17427288
32,32.91422057
49,41.31001837
41,45.24343259
46,55.36606326
58,55.87783001
30,34.55302328
46,42.31706714
52,47.55829398
45,45.67741136
33,50.08944529
25,42.69767234
47,30.8518593
40,41.58742012
46,37.49359408
28,32.76467305
35,46.89664586
41,43.68870531
21,38.11025919
47,36.79029676
62,51.90671316
51,47.02466003
24,31.25818504
57,51.85012445
50,49.0033421
37,38.51385118
36,38.64947405
53,49.89810425
45,47.63394693
63,48.3236737
51,47.96627294
33,45.9570636
31,45.31766356
43,45.6061572
40,41.40739076
60,37.87235462
46,46.62257369
27,45.68946477
42,44.65246695
54,44.01325882
59,49.93316553
29,43.3893971
49,46.23502122
33,44.33127908
40,37.32223832
59,44.38450225
50,42.6415679
37,36.84522613
61,49.18465233
37,52.11776104
65,46.66056805
27,40.30348633
63,38.26343038
38,47.46272823
49,30.1560687
32,43.78008036
62,52.91784649
41,44.90777143
47,54.79683164
52,39.34373413
47,53.89884879
58,44.6177154
65,52.76633257
42,45.00674501
46,37.90815824
51,50.00053331
54,50.71883598
48,46.66988813
57,52.71487548
29,35.47724476
33,43.7760647
41,52.41176892
48,55.50444408
27,55.32112429
31,44.17963542
54,48.56892445
42,53.65343859
52,46.04735151
47,43.1192262
45,47.89684323
22,33.81069291
53,42.91529241
50,52.83712589
55,35.70073567
46,43.90620008
58,49.56367751
44,41.58227404
27,41.41528642
61,50.40082755
35,34.70454661
63,49.17623025
23,41.9781823
25,36.28891973
28,42.11428274
23,41.14523619
24,32.6712399
25,41.57444178
25,30.74244176
28,45.33055755
25,34.24031782
28,37.88503408
24,39.99266501
28,25.09034434
24,47.92798508
25,44.706926
25,40.57191896
25,45.56041496
26,34.46238051
24,34.16127017
26,40.96725288
25,42.55252483
25,29.72175934
23,29.73708999
29,32.23539504
23,24.15412567
23,35.97094877
22,37.20033191
23,32.43697547
24,35.33246578
27,33.61692103
28,33.05271109
26,30.24017269
34,53.03815302
24,47.49294887
28,42.0418152
29,36.62399751
23,38.47047886
25,30.95242943
28,40.30955052
23,27.85943703
24,33.25353122
25,33.34725709
25,38.70206209
28,41.00914022
25,38.13810792
28,43.20774685
24,31.91210366
28,24.75127069
24,44.39977927
25,31.36142785
25,37.79849921
25,47.62674144
26,39.61833521
24,35.14891809
26,31.34446109
25,38.40740596
25,37.4626254
23,26.20210801
29,42.11571215
23,44.79504427
23,44.40556412
22,38.09641354
23,36.45705748
24,36.96056786
27,36.92957085
28,33.46925514
26,32.95126228
34,40.85993507
24,39.60212304
28,43.16942437
29,41.65172098
45,27.11781318
36,30.14980884
40,36.20478679
21,36.00448068
33,40.29389229
40,40.13559501
36,44.56217281
28,40.53473191
30,43.10106654
40,41.67383511
31,41.67956965
46,33.90817602
32,33.73545262
49,44.41132025
24,39.68144045
33,40.50477708
40,34.91224454
34,35.66679458
27,34.03349965
38,35.62908685
18,43.56822007
39,31.03315858
40,46.52752393
30,36.85122934
28,33.84574773
30,35.16524895
26,29.81177168
29,34.06867369
36,33.12470159
45,36.68193135
36,30.63370133
35,43.03591591
26,38.03590564
71,36.80676101
27,34.25923783
27,56.00508132
32,38.3885886
41,45.05391492
56,34.34392087
39,29.07836325
37,48.71873498
43,43.21642528
42,38.83075084
47,49.28004403
48,37.09340396
39,39.09871796
42,42.68385779
21,42.20454853
41,40.71275044
52,42.41454638
59,37.6874543
34,40.21458144
32,45.05330312
51,32.48266517
40,50.8598024
42,41.03762493
34,46.05927091
31,50.79614936
33,36.49373985
37,31.11847233
35,46.33998643
45,40.22981989
48,41.00047788
35,44.21305096
34,43.92163466
24,40.70154604
32,42.29188448
39,45.692785
25,39.43437302
48,42.86903975
25,42.96891959
23,38.49773815
43,35.87933173
31,53.72532846
35,30.09137422
24,41.50873405
41,42.23545814
32,38.09803776
31,36.29106257
31,34.84698756
28,43.24420404
34,45.31246781
37,46.06370002
30,50.80028312
